id,sentiment
8,neutral
9,positive
10,neutral
11,positive
13,neutral
19,positive
20,neutral
21,neutral
24,positive
28,neutral
33,positive
36,positive
42,neutral
48,neutral
59,positive
62,positive
71,neutral
76,neutral
78,neutral
79,positive
84,neutral
93,positive
95,negative
97,negative
99,positive
100,positive
102,negative
110,neutral
118,negative
120,neutral
131,positive
134,negative
135,positive
138,neutral
140,positive
143,positive
144,neutral
145,neutral
149,positive
154,neutral
167,neutral
168,positive
171,neutral
177,positive
178,neutral
188,positive
189,negative
190,negative
193,positive
198,negative
202,neutral
206,positive
209,positive
222,neutral
226,neutral
227,positive
241,neutral
243,neutral
244,positive
246,positive
250,neutral
252,neutral
260,negative
261,neutral
262,neutral
263,neutral
268,neutral
270,positive
271,positive
279,neutral
284,positive
290,positive
294,positive
297,neutral
303,positive
311,positive
315,positive
326,positive
337,positive
346,neutral
349,positive
350,neutral
356,neutral
357,neutral
365,neutral
368,neutral
372,positive
392,positive
397,negative
399,positive
400,positive
401,positive
404,neutral
405,positive
409,positive
410,neutral
414,negative
425,neutral
428,positive
431,neutral
432,neutral
435,positive
439,positive
464,positive
465,positive
467,positive
474,neutral
475,neutral
476,positive
481,positive
486,positive
490,neutral
498,positive
500,positive
509,negative
516,neutral
517,neutral
520,neutral
528,positive
539,negative
541,neutral
544,negative
557,negative
558,positive
560,negative
566,neutral
569,positive
575,neutral
580,negative
583,neutral
589,positive
590,positive
592,positive
595,neutral
601,positive
607,negative
615,neutral
623,positive
624,positive
627,neutral
630,positive
635,neutral
639,neutral
640,neutral
643,positive
645,positive
653,negative
658,positive
661,neutral
667,positive
669,negative
671,positive
677,negative
682,neutral
684,positive
687,positive
692,positive
696,neutral
701,positive
705,neutral
707,neutral
709,neutral
714,neutral
716,positive
722,negative
730,neutral
732,positive
733,neutral
741,positive
742,positive
751,positive
756,positive
764,negative
773,neutral
774,negative
775,positive
776,positive
786,neutral
788,negative
789,neutral
